"Customer ID","Customer Name","Invoice Date","Invoice ID","Book Code","Book Name","Category ID","Category Name","Quantity","Price","Amount","Gross Total","Discount","Net Total"
"1","Susie Granger",2011-11-24,"36693","362","Dream and Palace","8","Autobiography","1","3400","3400","175600","0.5","87800"
"1","Susie Granger",2011-11-24,"36693","276","Nightmare but Living","6","Educational","1","1300","1300","175600","0.5","87800"
"1","Susie Granger",2011-11-24,"36693","175","Invincible and Culprit","6","Educational","1","600","600","175600","0.5","87800"
"1","Susie Granger",2011-11-24,"36693","129","Cost but Living","3","Classics","1","4500","4500","175600","0.5","87800"
"1","Susie Granger",2011-11-24,"36693","274","Drama but Love","3","Classics","1","2300","2300","175600","0.5","87800"
"1","Susie Granger",2011-11-24,"36693","198","Cry to Places","1","Romance","1","600","600","175600","0.5","87800"
"1","Susie Granger",2011-11-24,"36693","271","Nightmare the Nightmare","5","Thriller","1","3500","3500","175600","0.5","87800"
"1","Susie Granger",2011-11-24,"36693","189","Places the Places","3","Classics","81","1900","153900","175600","0.5","87800"
"1","Susie Granger",2011-11-24,"36693","84","Palace but Cost","7","History","1","600","600","175600","0.5","87800"
"1","Susie Granger",2011-11-24,"36693","154","Love to Kill","8","Autobiography","1","4900","4900","175600","0.5","87800"
"1","Susie Granger",2012-09-11,"80985","373","Invincible but Places","6","Educational","1","4800","4800","4800","0","4800"
"1","Susie Granger",2011-06-02,"62518","231","Nightmare and Culprit","4","Horror","12","4000","48000","60500","0.5","30250"
"1","Susie Granger",2011-06-02,"62518","348","Rings to Love","4","Horror","1","500","500","60500","0.5","30250"
"1","Susie Granger",2011-06-02,"62518","73","Living to Invincible","2","Adventure","1","4900","4900","60500","0.5","30250"
"1","Susie Granger",2011-06-02,"62518","28","Land to Love","1","Romance","1","3500","3500","60500","0.5","30250"
"1","Susie Granger",2011-06-02,"62518","150","Dream the Cost","3","Classics","1","3600","3600","60500","0.5","30250"
"1","Susie Granger",2010-01-24,"24","192","Call to Love","10","Cookery","3","800","2400","16800","0.1","15120"
